transaction_id,transaction_date,customer_id,merchant_id,merchant_category,transaction_amount,city,state,payment_method,card_type,customer_age,customer_income,transaction_hour,is_international,is_weekend,previous_transaction_amount,distance_from_home_km,ground_truth_unusual
TXN0000001,2026-07-10 23:09:30,CUST001399,MERCH00161,Entertainment,17.23,San Diego,CA,Online,Gold,66,96285.58,11,0,0,47.11,2.73,0
TXN0000002,2026-03-21 07:48:28,CUST000698,MERCH00067,Fashion,5.66,Detroit,MI,Chip,Business Green,29,51751.5,21,0,1,19.82,9.1,0
TXN0000003,2026-01-16 15:35:44,CUST001123,MERCH00100,Entertainment,33.04,Los Angeles,CA,Chip,Business Green,35,51889.49,7,0,0,22.35,10.18,0
TXN0000004,2026-05-13 09:22:30,CUST000594,MERCH00077,Healthcare,67.6,New York,NY,Swipe,Green,18,30028.23,15,0,0,87.31,17.43,0
TXN0000005,2025-11-05 11:26:50,CUST000886,MERCH00035,Utilities,139.7,Columbus,OH,Swipe,Green,49,95523.2,14,0,0,111.81,13.81,0
TXN0000006,2025-09-27 21:14:14,CUST000852,MERCH00045,Electronics,210.08,San Antonio,TX,Contactless (Tap),Platinum,53,86539.03,6,0,1,265.71,4.23,0
TXN0000007,2026-07-25 16:54:32,CUST001216,MERCH00150,Restaurants,83.26,Philadelphia,PA,Contactless (Tap),Green,20,18929.56,7,0,1,118.06,1.0,0
TXN0000008,2025-11-17 03:04:49,CUST000325,MERCH00068,Travel,160.76,Phoenix,AZ,Chip,Green,54,87148.43,12,0,0,233.77,27.82,0
TXN0000009,2026-07-19 06:22:46,CUST000979,MERCH00254,Grocery,15.56,Miami,FL,Chip,Platinum,55,90644.3,8,0,1,23.0,14.39,0
TXN0000010,2026-01-21 14:39:13,CUST000956,MERCH00017,Fuel,82.03,New York,NY,Swipe,Platinum,64,105381.35,14,0,0,117.5,12.29,0
TXN0000011,2026-02-06 10:20:13,CUST001491,MERCH00261,Healthcare,376.27,Denver,CO,Chip,Gold,73,76478.02,16,0,0,471.4,3.06,0
TXN0000012,2025-10-01 07:31:55,CUST000894,MERCH00213,Education,23.22,Atlanta,GA,Chip,Green,44,62161.85,18,0,0,28.86,45.99,0
TXN0000013,2026-01-07 16:23:53,CUST001391,MERCH00313,Entertainment,102.48,Los Angeles,CA,Online,Platinum,53,71849.55,15,0,0,67.78,17.97,0
TXN0000014,2026-03-23 15:06:57,CUST001342,MERCH00256,Education,144.35,Miami,FL,Online,Platinum,53,90559.52,12,0,0,89.11,16.3,0
TXN0000015,2025-11-22 16:12:04,CUST000144,MERCH00216,Entertainment,48.99,Chicago,IL,Chip,Gold,61,85855.02,8,1,1,63.06,3389.6,0
TXN0000016,2026-03-13 17:59:27,CUST000384,MERCH00351,Utilities,205.08,Atlanta,GA,Contactless (Tap),Green,47,58283.29,10,0,0,251.78,10.42,0
TXN0000017,2026-08-18 16:23:04,CUST000216,MERCH00286,Electronics,111.72,Detroit,MI,Chip,Gold,56,105860.72,13,0,0,115.25,21.48,0
TXN0000018,2026-04-08 15:03:04,CUST001385,MERCH00007,Electronics,396.3,Detroit,MI,Chip,Platinum,50,78665.26,22,0,0,572.5,6.7,0
TXN0000019,2025-09-24 00:28:16,CUST000324,MERCH00380,Restaurants,40.53,Phoenix,AZ,Contactless (Tap),Gold,22,42728.35,9,1,0,26.42,6485.12,0
TXN0000020,2025-10-16 09:34:34,CUST001039,MERCH00199,Electronics,298.26,Phoenix,AZ,Chip,Green,38,68616.66,13,0,0,228.56,7.23,0
